item_id,order_id,product_id,quantity,unit_price,discount_percent
I00735,O0099,P0275,3,48349,8
I00736,O0343,P0357,5,13823,19
I00737,O0153,P0354,1,25587,23
I00738,O0273,P0126,1,21299,31
I00739,O0239,P0480,3,6900,15
I00740,O0227,P0087,3,35033,16
I00741,O0330,P0084,2,20295,19
I00742,O0487,P0319,2,26414,12
I00743,O0133,P0228,4,43336,36
I00744,O0017,P0058,2,42286,5
I00745,O0390,P0478,2,4927,6
I00746,O0205,P0233,4,21554,25
I00747,O0087,P0193,4,49167,0
I00748,O0125,P0465,2,29197,4
I00749,O0473,P0232,1,8337,2
I00750,O0224,P0108,1,11478,3
I00751,O0063,P0206,3,44954,1
I00752,O0059,P0165,3,10686,17
I00753,O0375,P0081,3,47765,27
I00754,O0314,P0202,2,935,38
I00755,O0382,P0281,1,1894,15
I00756,O0320,P0182,1,43966,31
I00757,O0202,P0118,2,44354,25
I00758,O0143,P0184,5,7617,29
I00759,O0137,P0186,3,33132,20
I00760,O0112,P0472,2,43491,27
I00761,O0145,P0161,2,15890,31
I00762,O0026,P0181,3,150,1
I00763,O0482,P0365,5,35856,25
I00764,O0281,P0363,3,29268,30
I00765,O0417,P0128,4,18723,4
I00766,O0293,P0389,5,6951,0
I00767,O0058,P0486,2,42190,16
I00768,O0417,P0173,5,35478,17
I00769,O0130,P0333,3,39879,21
I00770,O0286,P0408,5,43157,11
I00771,O0176,P0202,4,38694,5
I00772,O0482,P0313,4,36853,1
I00773,O0087,P0174,4,36558,12
I00774,O0349,P0436,2,47192,14
I00775,O0264,P0142,-4,43237,11
I00776,O0264,P0430,1,19907,0
I00777,O0012,P0327,2,20778,29
I00778,O0355,P0138,3,28957,7
I00779,O0085,P0379,5,27555,7
I00780,O0362,P0429,2,15565,15
I00781,O0089,P0081,4,11582,23
I00782,O0182,P0155,3,31107,14
I00783,O0447,P0355,5,41039,32
I00784,O0024,P0272,1,32028,21
I00785,O0022,P0118,3,40308,6
I00786,O0290,P0188,5,19625,21
I00787,O0339,P0429,1,2296,34
I00788,O0455,P0456,5,23462,0
I00789,O0154,P0181,1,47853,25
I00790,O0033,P0317,3,18435,30
I00791,O0283,P0285,4,26219,27
I00792,O0338,P0035,2,38487,32
I00793,O0072,P0232,5,32646,18
I00794,O0169,P0060,1,27417,33
I00795,O0220,P0417,3,29033,5
I00796,O0081,P0270,5,41405,4
I00797,O0453,P0378,-1,38013,6
I00798,O0080,P0327,1,34556,8
I00799,O0146,P0160,4,46886,25
I00800,O0369,P0096,3,25887,29
I00801,O0133,P0421,1,32013,29
I00802,O0340,P0146,-5,1046,15
I00803,O0283,P0441,-5,28470,22
I00804,O0035,P0492,3,36065,16
I00805,O0301,P0162,3,21319,4
I00806,O0365,P0210,3,29540,19
I00807,O0150,P0286,1,18265,36
I00808,O0050,P0196,4,47121,9
I00809,O0038,P0423,4,7770,17
I00810,O0270,P0286,5,42484,37
I00811,O0116,P0043,2,8187,7
I00812,O0487,P0114,1,4150,25
I00813,O0066,P0042,5,26564,33
I00814,O0340,P0316,1,293,18
I00815,O0015,P0466,1,28337,18
I00816,O0428,P0407,1,10624,20
I00817,O0138,P0252,2,15219,4
I00818,O0333,P0015,4,37684,31
I00819,O0204,P0189,4,41959,25
I00820,O0468,P0054,1,9029,35
I00821,O0112,P0424,1,39922,18
I00822,O0200,P0055,4,1680,35
I00823,O0316,P0120,3,21019,9
I00824,O0278,P0115,1,43773,28
I00825,O0111,P0100,2,23826,7
I00826,O0342,P0407,4,31614,2
I00827,O0148,P0316,1,43784,23
I00828,O0491,P0377,5,15578,25
I00829,O0160,P0423,-2,21986,10
I00830,O0342,P0295,3,6944,30
I00831,O0446,P0177,2,23269,17
I00832,O0452,P0175,5,13961,21
I00833,O0298,P0275,2,32198,32
I00834,O0153,P0318,3,6687,30
I00835,O0308,P0328,5,18070,0
I00836,O0277,P0061,4,41743,6
I00837,O0228,P0017,1,4275,6
I00838,O0308,P0386,4,21024,28
I00839,O0059,P0065,5,37885,28
I00840,O0002,P0248,3,35456,23
I00841,O0357,P0059,2,34400,11
I00842,O0222,P0077,3,46091,24
I00843,O0206,P0092,2,40278,25
I00844,O0072,P0170,2,4405,27
I00845,O0280,P0228,1,29746,6
I00846,O0003,P0339,4,48196,34
I00847,O0046,P0242,5,48322,8
I00848,O0348,P0439,4,35441,19
I00849,O0451,P0140,4,40912,0
I00850,O0318,P0403,1,18974,13
I00851,O0007,P0250,2,23531,2
I00852,O0390,P0179,2,20100,19
I00853,O0090,P0422,5,10781,2
I00854,O0172,P0475,4,17086,12
I00855,O0355,P0338,1,10417,19
I00856,O0401,P0257,3,16259,19
I00857,O0451,P0329,1,3063,32
I00858,O0415,P0183,-2,8605,31
I00859,O0040,P0376,5,4348,12
I00860,O0282,P0278,-5,1702,16
I00861,O0325,P0102,2,30054,9
I00862,O0084,P0015,5,28245,0
I00863,O0189,P0247,2,3755,16
I00864,O0149,P0039,3,21702,19
I00865,O0155,P0308,1,40295,21
I00866,O0423,P0091,3,18520,30
I00867,O0412,P0144,3,38403,17
I00868,O0031,P0028,3,17529,22
I00869,O0229,P0335,3,2337,26
I00870,O0439,P0177,2,37511,24
I00871,O0338,P0086,1,7933,28
I00872,O0060,P0378,-3,22526,18
I00873,O0174,P0021,3,26675,32
I00874,O0217,P0052,4,2075,31
I00875,O0264,P0099,2,15639,35
I00876,O0275,P0015,3,49437,7
I00877,O0160,P0111,4,30810,30
I00878,O0102,P0383,3,24238,13
I00879,O0367,P0154,4,5329,12
I00880,O0463,P0271,3,2303,33
I00881,O0011,P0017,2,33137,11
I00882,O0495,P0139,1,26161,37
I00883,O0323,P0230,2,28836,27
I00884,O0292,P0219,1,28972,0
I00885,O0484,P0328,2,42878,35
I00886,O0395,P0001,2,34075,23
I00887,O0317,P0030,2,17836,33
I00888,O0281,P0432,3,28915,31
I00889,O0455,P0386,4,23702,32
I00890,O0052,P0211,1,31222,13
I00891,O0340,P0039,4,49260,15
I00892,O0149,P0359,5,791,26
I00893,O0006,P0099,5,9251,0
I00894,O0464,P0491,5,4659,22
I00895,O0410,P0187,4,44146,29
I00896,O0046,P0051,2,17363,13
I00897,O0084,P0472,5,21534,9
I00898,O0410,P0233,3,19664,16
I00899,O0079,P0055,-3,24935,5
I00900,O0433,P0177,-3,20311,38
I00901,O0208,P0297,3,49528,29
I00902,O0261,P0028,5,44229,15
I00903,O0137,P0322,2,5829,31
I00904,O0387,P0090,2,14852,10
I00905,O0452,P0121,4,39314,9
I00906,O0492,P0218,5,2141,8
I00907,O0303,P0142,4,13794,3
I00908,O0428,P0052,2,41054,9
I00909,O0416,P0162,4,12429,5
I00910,O0026,P0090,2,8211,13
I00911,O0481,P0285,2,31551,31
I00912,O0077,P0323,1,12064,17
I00913,O0334,P0201,2,43088,6
I00914,O0389,P0440,3,2508,30
I00915,O0290,P0275,1,16767,14
I00916,O0133,P0077,5,12937,1
I00917,O0096,P0055,5,43571,39
I00918,O0208,P0099,2,8448,40
I00919,O0154,P0263,1,26717,38
I00920,O0161,P0050,2,38506,36
I00921,O0220,P0323,5,16332,30
I00922,O0086,P0469,3,3044,17
I00923,O0348,P0104,2,1241,16
I00924,O0117,P0435,4,44689,18
I00925,O0317,P0249,3,22912,12
I00926,O0387,P0147,1,35324,16
I00927,O0341,P0045,3,23274,12
I00928,O0058,P0496,5,14510,18
I00929,O0253,P0424,1,772,12
I00930,O0190,P0434,3,15976,17
I00931,O0183,P0338,3,25788,2
I00932,O0011,P0303,5,1397,29
I00933,O0352,P0109,3,48079,21
I00934,O0447,P0326,5,42401,33
I00935,O0008,P0274,5,36695,18
I00936,O0275,P0424,2,30936,11
I00937,O0117,P0135,2,487,7
I00938,O0059,P0106,3,9608,20
I00939,O0107,P0384,1,19979,2
I00940,O0394,P0095,4,38101,33
I00941,O0041,P0015,1,41256,5
I00942,O0324,P0489,5,13153,30
I00943,O0293,P0340,4,41907,20
I00944,O0312,P0298,4,35126,37
I00945,O0068,P0213,4,5081,25
I00946,O0379,P0084,4,47671,21
I00947,O0038,P0044,1,49827,9
I00948,O0038,P0235,1,37372,31
I00949,O0321,P0223,2,4738,30
I00950,O0277,P0071,4,37739,4
I00951,O0069,P0165,5,40622,1
I00952,O0096,P0087,2,35076,40
I00953,O0441,P0249,1,49513,15
I00954,O0370,P0385,2,7790,24
I00955,O0294,P0379,1,33404,1
I00956,O0390,P0356,4,38635,32
I00957,O0445,P0308,1,11447,34
I00958,O0351,P0302,3,28466,5
I00959,O0261,P0464,1,38220,6
I00960,O0054,P0425,4,28831,7
I00961,O0203,P0395,5,39264,5
I00962,O0279,P0453,3,22708,22
I00963,O0163,P0105,4,38479,5
I00964,O0279,P0204,1,40834,1
I00965,O0027,P0293,1,43844,31
I00966,O0432,P0490,4,26199,35
I00967,O0319,P0335,1,4052,16
I00968,O0392,P0037,2,28898,16
I00969,O0088,P0477,3,3758,27
I00970,O0251,P0091,-5,21327,15
I00971,O0053,P0389,3,7968,20
I00972,O0164,P0279,5,20350,10
I00973,O0292,P0397,2,43703,38
I00974,O0029,P0179,2,7992,20
I00975,O0125,P0311,2,6036,38
I00976,O0327,P0427,1,45059,5
I00977,O0147,P0346,5,26689,38
I00978,O0475,P0241,4,36194,21
I00979,O0465,P0107,3,47385,2
I00980,O0201,P0331,4,32222,14
I00981,O0289,P0021,2,44574,22
I00982,O0416,P0460,2,959,9
I00983,O0038,P0204,2,43246,21
I00984,O0304,P0085,4,20108,25
I00985,O0398,P0209,4,22313,4
I00986,O0074,P0453,4,30646,21
I00987,O0377,P0173,2,17802,10
I00988,O0416,P0041,4,11829,15
I00989,O0222,P0264,1,19353,28
I00990,O0380,P0001,1,4199,6
I00991,O0389,P0335,5,32400,28
I00992,O0025,P0260,1,44683,12
I00993,O0484,P0160,3,49530,28
I00994,O0246,P0127,3,31604,36
I00995,O0418,P0297,2,5187,24
I00996,O0120,P0258,1,46031,26
I00997,O0262,P0401,3,39317,6
I00998,O0344,P0392,5,29778,2
I00999,O0469,P0200,3,6129,25
I01000,O0231,P0092,4,26753,31
